id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,iso_country,iso_region,municipality,scheduled_service,iata_code,score
2284,EDVE,medium_airport,Braunschweig-Wolfsburg Airport,52.319199,10.5561,295,EU,DE,DE-NI,Braunschweig,1,BWE,900
2273,EDTD,medium_airport,Donaueschingen-Villingen Airport,47.97333145,8.522221565,2231,EU,DE,DE-BW,Donaueschingen,0,ZQL,250
28490,EDKA,small_airport,Aachen-Merzbrück Airport,50.82305527,6.186388969,623,EU,DE,DE-NW,Aachen,0,AAH,50
2238,EDKV,small_airport,Flugplatz Dahlemer Binz,50.40555573,6.528889179,1896,EU,DE,DE-RP,Dahlheim,0,,50
2195,EDAZ,small_airport,Schönhagen Airport,52.203609,13.156389,152,EU,DE,DE-BR,Schönhagen,0,QXH,50
2296,EDXW,medium_airport,Westerland Sylt Airport,54.91320038,8.340470314,51,EU,DE,DE-SH,Westerland,1,GWT,975
2261,EDQD,medium_airport,Bayreuth Airport,49.985001,11.64,1601,EU,DE,DE-BY,Bayreuth,0,BYU,500
2291,EDWR,small_airport,Borkum Airport,53.59639,6.709167,3,EU,DE,DE-NI,Borkum,1,BMK,450
2265,EDRB,small_airport,Bitburg Airport,49.945278,6.565,1220,EU,DE,DE-RP,Bitburg,0,BBJ,50
28532,EDKB,small_airport,Bonn-Hangelar Airport,50.76889038,7.163332939,197,EU,DE,DE-NW,Bonn,0,BNJ,50
2274,EDTF,small_airport,Freiburg i. Br. Airport,48.02277756,7.832499981,801,EU,DE,DE-BW,Freiburg im Breisgau,0,,50
29078,EDNX,small_airport,Oberschleißheim Airfield,48.239445,11.561389,1594,EU,DE,DE-BY,Oberschleißheim,0,,50
28708,EDFR,small_airport,Rothenburg o. d. T. Airport,49.38833237,10.21805573,1309,EU,DE,DE-BY,Rothenburg ob der Tauber,0,,50
2245,EDLS,small_airport,Stadtlohn-Vreden Airport,51.99583435,6.840556145,157,EU,DE,DE-NW,Stadtlohn,0,,50
2231,EDFZ,medium_airport,Mainz-Finthen Airport,49.967499,8.147222,525,EU,DE,DE-RP,Mainz,0,,250
28509,EDRF,small_airport,Bad Dürkheim Airport,49.47305679,8.196389198,351,EU,DE,DE-RP,Bad Dürkheim,0,,50
28614,EDWJ,small_airport,Juist Airport,53.68111038,7.055832863,7,EU,DE,DE-NI,Juist,0,JUI,50
28619,EDMK,small_airport,Kempten-Durach Airport,47.69194412,10.33805561,2339,EU,DE,DE-BY,Kempten,0,,50
2289,EDWF,small_airport,Leer-Papenburg Airport,53.27194214,7.44166708,3,EU,DE,DE-NI,Leer,0,,50
2292,EDWY,small_airport,Norderney Airport,53.70694351,7.230000019,7,EU,DE,DE-NI,Norderney,0,NRD,50
2253,EDMS,small_airport,Straubing Airport,48.90083313,12.51666737,1047,EU,DE,DE-BY,Straubing,0,RBM,50
2235,EDHK,medium_airport,Kiel-Holtenau Airport,54.37944412,10.14527798,102,EU,DE,DE-SH,Kiel,1,KEL,1050
2263,EDQM,medium_airport,Hof-Plauen Airport,50.28861237,11.85638905,1959,EU,DE,DE-BY,Hof,1,HOQ,1000
2717,ETAD,medium_airport,Spangdahlem Air Base,49.97269821,6.692500114,1197,EU,DE,DE-RP,Trier,0,SPM,850
2269,EDRZ,small_airport,Zweibrücken Airport,49.2094,7.40056,1132,EU,DE,DE-RP,Zweibrücken,0,ZQW,150
2241,EDLE,small_airport,Essen Mulheim Airport,51.40230179,6.937329769,424,EU,DE,DE-NW,,0,ESS,50
28502,EDFC,small_airport,Aschaffenburg Airport,49.93888855,9.06388855,410,EU,DE,DE-BY,Aschaffenburg,0,,50
2262,EDQE,small_airport,Burg Feuerstein Airport,49.79416656,11.13361073,1673,EU,DE,DE-BY,Ebermannstadt,0,URD,50
28577,EDLF,small_airport,Grefrath-Niershorst Airport,51.33388901,6.359444141,105,EU,DE,DE-NW,Grefrath,0,,50
28623,EDTZ,small_airport,Konstanz Airport,47.6819458,9.13722229,1302,EU,DE,DE-BW,Konstanz,0,,50
2254,EDMV,small_airport,Vilshofen Airport,48.63499832,13.19555569,991,EU,DE,DE-BY,Vilshofen,0,,50
2187,EDAH,medium_airport,Heringsdorf Airport,53.87870026,14.15229988,93,EU,DE,DE-MV,Heringsdorf,1,HDF,900
2233,EDGS,medium_airport,Siegerland Airport,50.70769882,8.082969666,1966,EU,DE,DE-NW,,0,SGE,375
2753,ETSI,medium_airport,Ingolstadt Manching Airport,48.71569824,11.5340004,1202,EU,DE,DE-BY,Manching,0,IGS,375
30591,XMUC,closed,Flughafen München-Riem,48.13779831,11.69029999,,EU,DE,DE-BY,Munich,0,MUC,301
2276,EDTL,medium_airport,Lahr Airport,48.36930084,7.827720165,511,EU,DE,DE-BW,,0,LHA,300
2252,EDMO,medium_airport,Oberpfaffenhofen Airport,48.081402,11.2831,1947,EU,DE,DE-BY,,0,OBF,300
2260,EDPA,small_airport,Aalen-Heidenheim/Elchingen Airport,48.77777863,10.26472187,1916,EU,DE,DE-BW,Aalen,0,,50
2249,EDMB,small_airport,Biberach a.d. Riß Airport,48.11111069,9.762778282,1903,EU,DE,DE-BW,Biberach an der Riß,0,,50
28553,EDLD,small_airport,Dinslaken/Schwarze Heide Airport,51.616112,6.865278,217,EU,DE,DE-NW,Bottrop-Kirchhellen,0,,50
28536,EDLB,small_airport,Borkenberge Airport,51.77999878,7.288055897,157,EU,DE,DE-NW,Dülmen,0,,50
2293,EDXF,small_airport,Flensburg-Schäferhaus Airport,54.7733345,9.378889084,131,EU,DE,DE-SH,Flensburg,0,FLF,50
28627,EDQK,small_airport,Kulmbach Airport,50.13499832,11.45972157,1660,EU,DE,DE-BY,Kulmbach,0,,50
28652,EDLT,small_airport,Münster-Telgte Airport,51.94444275,7.773889065,177,EU,DE,DE-NW,Münster,0,,50
28686,EDLR,small_airport,Paderborn-Haxterberg Airport,51.6883316,8.775278091,801,EU,DE,DE-NW,Paderborn,0,,50
28615,EDLC,small_airport,Kamp-Lintfort Airport,51.52916718,6.536110878,85,EU,DE,DE-NW,Rheinberg,0,,50
28737,EDMT,small_airport,Tannheim Airport,48.00999832,10.09861088,1903,EU,DE,DE-BW,Tannheim,0,,50
